Frame,ID,Type,X,Y,Team
195,22,referee,1039,587,-1
195,27,referee,1633,1018,-1
195,44,referee,1075,384,-1
195,1,ball,1302,441,-1
196,15,player,1256,427,1
196,22,referee,1040,586,-1
196,27,referee,1633,1017,-1
196,44,referee,1074,383,-1
196,99,referee,1910,431,-1
196,1,ball,1294,438,-1
197,15,player,1256,428,1
197,22,referee,1041,583,-1
197,27,referee,1632,1017,-1
197,44,referee,1073,383,-1
197,1,ball,1287,436,-1
198,15,player,1257,429,1
198,22,referee,1042,579,-1
198,27,referee,1632,1017,-1
198,44,referee,1072,382,-1
198,99,referee,1909,431,-1
198,1,ball,1282,434,-1
199,15,player,1257,429,1
199,22,referee,1044,579,-1
199,27,referee,1632,1017,-1
199,44,referee,1070,382,-1
199,99,referee,1909,430,-1
199,1,ball,1282,433,-1
200,15,player,1259,431,1
200,22,referee,1046,579,-1
200,27,referee,1632,1018,-1
200,44,referee,1069,382,-1
200,1,ball,1281,432,-1
201,15,player,1258,432,1
201,22,referee,1047,579,-1
201,27,referee,1632,1018,-1
201,44,referee,1067,383,-1
201,1,ball,1281,431,-1
202,15,player,1258,432,1
202,22,referee,1049,579,-1
202,27,referee,1631,1020,-1
202,44,referee,1065,382,-1
202,1,ball,1281,430,-1
203,15,player,1260,432,1
203,22,referee,1051,577,-1
203,27,referee,1631,1018,-1
203,44,referee,1065,382,-1
203,1,ball,1281,429,-1
204,15,player,1262,432,1
204,44,referee,1066,381,-1
204,27,referee,1631,1018,-1
204,22,referee,1053,575,-1
204,1,ball,1280,428,-1
205,15,player,1262,430,1
205,44,referee,1066,378,-1
205,27,referee,1631,1017,-1
205,22,referee,1054,571,-1
205,1,ball,1280,427,-1
206,15,player,1264,424,1
206,27,referee,1631,1016,-1
206,22,referee,1057,564,-1
206,44,referee,1064,374,-1
206,1,ball,1286,426,-1
207,22,referee,1059,562,-1
207,27,referee,1633,1013,-1
207,44,referee,1064,374,-1
207,1,ball,113,1028,-1
208,15,player,1271,424,1
208,22,referee,1064,559,-1
208,27,referee,1636,1015,-1
208,44,referee,1065,374,-1
208,1,ball,1307,429,-1
209,15,player,1273,424,1
209,22,referee,1068,560,-1
209,27,referee,1638,1019,-1
209,44,referee,1066,374,-1
209,1,ball,1315,431,-1
210,15,player,1274,424,1
210,22,referee,1070,559,-1
210,27,referee,1639,1020,-1
210,44,referee,1065,374,-1
210,1,ball,1323,433,-1
211,15,player,1274,424,1
211,22,referee,1072,560,-1
211,27,referee,1638,1020,-1
211,44,referee,1065,374,-1
211,1,ball,1331,435,-1
212,15,player,1276,424,1
212,27,referee,1639,1020,-1
